COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
14.4	5.51E-11
14.6	5.60E-11
14.8	5.58E-11
15	5.66E-11
15.2	5.64E-11
15.4	5.71E-11
15.6	5.69E-11
15.8	5.80E-11
16	5.77E-11
16.2	5.87E-11
16.4	5.84E-11
16.6	5.95E-11
16.8	5.91E-11
17	6.02E-11
17.2	5.99E-11
17.4	6.05E-11
17.6	6.06E-11
17.8	6.15E-11
18	6.08E-11
18.2	6.22E-11
18.4	6.19E-11
18.6	6.28E-11
18.8	6.27E-11
19	6.37E-11
19.2	6.37E-11
19.4	6.45E-11
19.6	6.40E-11
19.8	6.51E-11
20	6.50E-11
20	6.10E-11
19.8	4.62E-11
19.6	3.87E-11
19.4	3.17E-11
19.2	2.77E-11
19	2.32E-11
18.8	2.01E-11
18.6	1.69E-11
18.4	1.45E-11
18.2	1.16E-11
18	9.94E-12
17.8	7.42E-12
17.6	6.12E-12
17.4	3.80E-12
17.2	2.97E-12
17	1.29E-12
16.8	3.30E-13
16.6	-1.61E-12
16.4	-2.38E-12
16.2	-4.02E-12
16	-4.49E-12
15.8	-5.87E-12
15.6	-6.48E-12
15.4	-7.74E-12
15.2	-8.18E-12
15	-9.81E-12
14.8	-9.45E-12
14.6	-1.09E-11
14.4	-1.09E-11
14.2	-1.24E-11
14	-1.27E-11
13.8	-1.36E-11
13.6	-1.40E-11
13.4	-1.48E-11
13.2	-1.49E-11
13	-1.50E-11
12.8	-1.55E-11
12.6	-1.67E-11
12.4	-1.68E-11
12.2	-1.77E-11
12	-1.74E-11
11.8	-1.85E-11
11.6	-1.82E-11
11.4	-1.94E-11
11.2	-1.96E-11
11	-2.05E-11
10.8	-2.03E-11
10.6	-2.10E-11
10.4	-2.12E-11
10.2	-2.18E-11
10	-2.16E-11
9.8	-2.25E-11
9.6	-2.22E-11
9.4	-2.28E-11
9.2	-2.31E-11
9	-2.35E-11
8.8	-2.35E-11
8.6	-2.42E-11
8.4	-2.38E-11
8.2	-2.47E-11
8	-2.46E-11
7.8	-2.54E-11
7.6	-2.49E-11
7.4	-2.57E-11
7.2	-2.55E-11
7	-2.63E-11
6.8	-2.60E-11
6.6	-2.70E-11
6.4	-2.67E-11
6.2	-2.71E-11
6	-2.70E-11
5.8	-3.97E-11
5.6	-4.41E-11
5.4	-4.62E-11
5.2	-4.85E-11
5	-4.96E-11
4.8	-5.12E-11
4.6	-5.26E-11
4.4	-5.32E-11
4.2	-5.42E-11
4	-5.52E-11
3.8	-5.55E-11
3.6	-5.69E-11
3.4	-5.72E-11
3.2	-5.80E-11
3	-5.86E-11
2.8	-5.93E-11
2.6	-5.97E-11
2.4	-6.07E-11
2.2	-6.12E-11
2	-6.15E-11
1.8	-6.25E-11
1.6	-6.28E-11
1.4	-6.35E-11
1.2	-6.38E-11
1	-6.45E-11
0.8	-6.57E-11
0.6	-6.56E-11
0.4	-6.62E-11
0.2	-6.72E-11
0	-6.71E-11
-0.2	-6.84E-11
-0.4	-6.89E-11
-0.6	-6.93E-11
-0.8	-7.03E-11
-1	-7.06E-11
-1.2	-7.11E-11
-1.4	-7.24E-11
-1.6	-7.30E-11
-1.8	-7.42E-11
-2	-7.49E-11
-2.2	-7.66E-11
-2.4	-7.86E-11
-2.6	-7.97E-11
-2.8	-8.18E-11
-3	-8.44E-11
-3.2	-8.63E-11
-3.4	-8.95E-11
-3.6	-9.36E-11
-3.8	-9.63E-11
-4	-1.01E-10
