8.2	8.44E-07
8.4	8.54E-07
8.6	8.64E-07
8.8	8.74E-07
9	8.84E-07
9.2	8.95E-07
9.4	9.05E-07
9.6	9.15E-07
9.8	9.25E-07
10	9.36E-07
10.2	9.46E-07
10.4	9.57E-07
10.6	9.67E-07
10.8	9.78E-07
11	9.88E-07
11.2	9.98E-07
11.4	1.01E-06
11.6	1.02E-06
11.8	1.03E-06
12	1.04E-06
12.2	1.05E-06
12.4	1.06E-06
12.6	1.07E-06
12.8	1.08E-06
13	1.09E-06
13.2	1.10E-06
13.4	1.12E-06
13.6	1.13E-06
13.8	1.14E-06
14	1.15E-06
14.2	1.16E-06
14.4	1.17E-06
14.6	1.18E-06
14.8	1.19E-06
15	1.20E-06
15.2	1.21E-06
15.4	1.22E-06
15.6	1.23E-06
15.8	1.24E-06
16	1.25E-06
16.2	1.27E-06
16.4	1.28E-06
16.6	1.29E-06
16.8	1.30E-06
17	1.31E-06
17.2	1.32E-06
17.4	1.33E-06
17.6	1.34E-06
17.8	1.35E-06
18	1.36E-06
18.2	1.37E-06
18.4	1.38E-06
18.6	1.39E-06
18.8	1.41E-06
19	1.42E-06
19.2	1.43E-06
19.4	1.44E-06
19.6	1.45E-06
19.8	1.46E-06
20	1.47E-06
20	1.47E-06
19.8	1.45E-06
19.6	1.44E-06
19.4	1.43E-06
19.2	1.41E-06
19	1.40E-06
18.8	1.38E-06
18.6	1.37E-06
18.4	1.36E-06
18.2	1.34E-06
18	1.33E-06
17.8	1.31E-06
17.6	1.30E-06
17.4	1.29E-06
17.2	1.27E-06
17	1.26E-06
16.8	1.25E-06
16.6	1.23E-06
16.4	1.22E-06
16.2	1.21E-06
16	1.19E-06
15.8	1.18E-06
15.6	1.16E-06
15.4	1.15E-06
15.2	1.14E-06
15	1.12E-06
14.8	1.11E-06
14.6	1.10E-06
14.4	1.08E-06
14.2	1.07E-06
14	1.06E-06
13.8	1.04E-06
13.6	1.03E-06
13.4	1.02E-06
13.2	1.00E-06
13	9.90E-07
12.8	9.77E-07
12.6	9.64E-07
12.4	9.51E-07
12.2	9.37E-07
12	9.24E-07
11.8	9.11E-07
11.6	8.98E-07
11.4	8.85E-07
11.2	8.72E-07
11	8.59E-07
10.8	8.47E-07
10.6	8.34E-07
10.4	8.21E-07
10.2	8.08E-07
10	7.95E-07
9.8	7.83E-07
9.6	7.70E-07
9.4	7.57E-07
9.2	7.45E-07
9	7.32E-07
8.8	7.20E-07
8.6	7.07E-07
8.4	6.95E-07
8.2	6.83E-07
8	6.70E-07
7.8	6.58E-07
7.6	6.46E-07
7.4	6.34E-07
7.2	6.22E-07
7	6.10E-07
6.8	5.98E-07
6.6	5.86E-07
6.4	5.74E-07
6.2	5.63E-07
6	5.51E-07
5.8	5.40E-07
5.6	5.29E-07
5.4	5.18E-07
5.2	5.07E-07
5	4.96E-07
4.8	4.85E-07
4.6	4.74E-07
4.4	4.63E-07
4.2	4.53E-07
4	4.42E-07
3.8	4.31E-07
3.6	4.21E-07
3.4	4.11E-07
3.2	4.00E-07
3	3.90E-07
2.8	3.80E-07
2.6	3.70E-07
2.4	3.60E-07
2.2	3.50E-07
2	3.40E-07
1.8	3.31E-07
1.6	3.21E-07
1.4	3.12E-07
1.2	3.02E-07
1	2.93E-07
0.8	2.84E-07
0.6	2.75E-07
0.4	2.66E-07
0.2	2.57E-07
0	2.49E-07
-0.2	2.40E-07
-0.4	2.32E-07
-0.6	2.24E-07
-0.8	2.16E-07
-1	2.08E-07
-1.2	2.00E-07
-1.4	1.92E-07
-1.6	1.84E-07
-1.8	1.77E-07
-2	1.70E-07
-2.2	1.62E-07
-2.4	1.55E-07
-2.6	1.49E-07
-2.8	1.42E-07
-3	1.35E-07
-3.2	1.29E-07
-3.4	1.23E-07
-3.6	1.17E-07
-3.8	1.11E-07
-4	1.05E-07
-4.2	9.96E-08
-4.4	9.43E-08
-4.6	8.92E-08
-4.8	8.42E-08
-5	7.94E-08
-5.2	7.47E-08
-5.4	7.03E-08
-5.6	6.60E-08
-5.8	6.19E-08
-6	5.80E-08
-6.2	5.43E-08
-6.4	5.07E-08
-6.6	4.73E-08
-6.8	4.41E-08
-7	4.11E-08
-7.2	3.82E-08
-7.4	3.54E-08
-7.6	3.29E-08
-7.8	3.05E-08
-8	2.82E-08
-8.2	2.61E-08
-8.4	2.41E-08
-8.6	2.22E-08
-8.8	2.05E-08
-9	1.89E-08
-9.2	1.75E-08
-9.4	1.61E-08
-9.6	1.49E-08
-9.8	1.37E-08
-10	1.27E-08
-10.2	1.17E-08
-10.4	1.08E-08
-10.6	1.01E-08
-10.8	9.34E-09
-11	8.74E-09
-11.2	8.16E-09
-11.4	7.63E-09
-11.6	7.15E-09
-11.8	6.88E-09
-12	6.46E-09
-12.2	6.10E-09
-12.4	5.76E-09
-12.6	5.47E-09
-12.8	5.20E-09
-13	4.97E-09
-13.2	4.76E-09
-13.4	4.56E-09
-13.6	4.39E-09
-13.8	4.24E-09
-14	4.10E-09
-14.2	3.97E-09
-14.4	3.85E-09
-14.6	3.74E-09
-14.8	3.65E-09
-15	3.55E-09
-15.2	3.46E-09
-15.4	3.39E-09
-15.6	3.31E-09
-15.8	3.24E-09
-16	3.17E-09
-16.2	3.10E-09
-16.4	3.04E-09
-16.6	2.97E-09
-16.8	2.91E-09
-17	2.85E-09
-17.2	2.80E-09
-17.4	2.74E-09
-17.6	2.69E-09
-17.8	2.63E-09
-18	2.58E-09
-18.2	2.53E-09
-18.4	2.48E-09
-18.6	2.43E-09
-18.8	2.38E-09
-19	2.33E-09
-19.2	2.29E-09
-19.4	2.24E-09
-19.6	2.20E-09
-19.8	2.15E-09
-20	2.11E-09
-20	2.74E-09
-19.8	3.43E-09
-19.6	4.03E-09
-19.4	4.66E-09
-19.2	5.32E-09
-19	6.02E-09
-18.8	6.76E-09
-18.6	7.54E-09
-18.4	8.37E-09
-18.2	9.25E-09
-18	9.97E-09
-17.8	1.10E-08
-17.6	1.21E-08
-17.4	1.32E-08
-17.2	1.44E-08
-17	1.57E-08
-16.8	1.70E-08
-16.6	1.84E-08
-16.4	1.99E-08
-16.2	2.15E-08
-16	2.31E-08
-15.8	2.49E-08
-15.6	2.67E-08
-15.4	2.86E-08
-15.2	3.06E-08
-15	3.28E-08
-14.8	3.50E-08
-14.6	3.73E-08
-14.4	3.97E-08
-14.2	4.23E-08
-14	4.50E-08
-13.8	4.77E-08
-13.6	5.06E-08
-13.4	5.36E-08
-13.2	5.68E-08
-13	6.01E-08
-12.8	6.35E-08
-12.6	6.70E-08
-12.4	7.07E-08
-12.2	7.44E-08
-12	7.83E-08
-11.8	8.24E-08
-11.6	8.66E-08
-11.4	9.10E-08
-11.2	9.55E-08
-11	1.00E-07
-10.8	1.05E-07
-10.6	1.10E-07
-10.4	1.14E-07
-10.2	1.19E-07
-10	1.25E-07
-9.8	1.30E-07
-9.6	1.36E-07
-9.4	1.42E-07
-9.2	1.48E-07
-9	1.54E-07
-8.8	1.60E-07
-8.6	1.66E-07
-8.4	1.73E-07
-8.2	1.80E-07
-8	1.86E-07
-7.8	1.93E-07
-7.6	2.00E-07
-7.4	2.08E-07
-7.2	2.15E-07
-7	2.22E-07
-6.8	2.30E-07
-6.6	2.38E-07
-6.4	2.46E-07
-6.2	2.54E-07
-6	2.62E-07
-5.8	2.70E-07
-5.6	2.79E-07
-5.4	2.87E-07
-5.2	2.96E-07
-5	3.05E-07
-4.8	3.14E-07
-4.6	3.23E-07
-4.4	3.32E-07
-4.2	3.41E-07
-4	3.50E-07
-3.8	3.60E-07
-3.6	3.69E-07
-3.4	3.79E-07
-3.2	3.89E-07
-3	3.99E-07
-2.8	4.09E-07
-2.6	4.19E-07
-2.4	4.29E-07
-2.2	4.39E-07
-2	4.49E-07
-1.8	4.60E-07
-1.6	4.70E-07
-1.4	4.81E-07
-1.2	4.92E-07
-1	5.03E-07
-0.8	5.13E-07
-0.6	5.24E-07
-0.4	5.35E-07
-0.2	5.47E-07
0	5.58E-07
0.2	5.69E-07
0.4	5.80E-07
0.6	5.92E-07
0.8	6.03E-07
1	6.15E-07
1.2	6.26E-07
1.4	6.38E-07
1.6	6.50E-07
1.8	6.62E-07
2	6.74E-07
2.2	6.86E-07
2.4	6.98E-07
2.6	7.10E-07
2.8	7.22E-07
3	7.34E-07
3.2	7.46E-07
3.4	7.59E-07
3.6	7.71E-07
3.8	7.84E-07
4	7.96E-07
4.2	8.09E-07
4.4	8.21E-07
4.6	8.34E-07
4.8	8.46E-07
5	8.58E-07
5.2	8.69E-07
5.4	8.80E-07
5.6	8.92E-07
5.8	9.03E-07
6	9.15E-07
6.2	9.27E-07
6.4	9.39E-07
6.6	9.51E-07
6.8	9.63E-07
7	9.75E-07
7.2	9.87E-07
7.4	9.99E-07
7.6	1.01E-06
7.8	1.02E-06
8	1.04E-06
8.2	1.05E-06
8.4	1.06E-06
8.6	1.08E-06
8.8	1.09E-06
9	1.10E-06
9.2	1.11E-06
9.4	1.13E-06
9.6	1.14E-06
9.8	1.15E-06
10	1.17E-06
10.2	1.18E-06
10.4	1.19E-06
10.6	1.21E-06
10.8	1.22E-06
11	1.23E-06
11.2	1.25E-06
11.4	1.26E-06
11.6	1.27E-06
11.8	1.29E-06
12	1.30E-06
12.2	1.31E-06
12.4	1.33E-06
12.6	1.34E-06
12.8	1.35E-06
13	1.37E-06
13.2	1.38E-06
13.4	1.39E-06
13.6	1.41E-06
13.8	1.42E-06
14	1.44E-06
14.2	1.45E-06
14.4	1.46E-06
14.6	1.48E-06
14.8	1.49E-06
15	1.50E-06
15.2	1.52E-06
15.4	1.53E-06
15.6	1.55E-06
15.8	1.56E-06
16	1.57E-06
16.2	1.59E-06
16.4	1.60E-06
16.6	1.61E-06
16.8	1.63E-06
17	1.64E-06
17.2	1.66E-06
17.4	1.67E-06
17.6	1.68E-06
17.8	1.70E-06
18	1.71E-06
18.2	1.72E-06
18.4	1.74E-06
18.6	1.75E-06
18.8	1.76E-06
19	1.78E-06
19.2	1.79E-06
19.4	1.81E-06
19.6	1.82E-06
19.8	1.83E-06
20	1.85E-06
20	1.85E-06
19.8	1.83E-06
19.6	1.81E-06
19.4	1.79E-06
19.2	1.78E-06
19	1.76E-06
18.8	1.74E-06
18.6	1.72E-06
18.4	1.70E-06
18.2	1.69E-06
18	1.67E-06
17.8	1.65E-06
17.6	1.63E-06
17.4	1.62E-06
17.2	1.60E-06
17	1.58E-06
16.8	1.57E-06
16.6	1.55E-06
16.4	1.53E-06
16.2	1.51E-06
16	1.50E-06
15.8	1.48E-06
15.6	1.46E-06
15.4	1.45E-06
15.2	1.43E-06
15	1.41E-06
14.8	1.39E-06
14.6	1.38E-06
14.4	1.36E-06
14.2	1.34E-06
14	1.33E-06
13.8	1.31E-06
13.6	1.29E-06
13.4	1.28E-06
13.2	1.26E-06
13	1.24E-06
12.8	1.23E-06
12.6	1.21E-06
12.4	1.19E-06
12.2	1.18E-06
12	1.16E-06
11.8	1.14E-06
11.6	1.13E-06
11.4	1.11E-06
11.2	1.09E-06
11	1.08E-06
10.8	1.06E-06
10.6	1.05E-06
10.4	1.03E-06
10.2	1.01E-06
10	9.98E-07
9.8	9.82E-07
9.6	9.66E-07
9.4	9.50E-07
9.2	9.34E-07
9	9.18E-07
8.8	9.03E-07
8.6	8.87E-07
8.4	8.72E-07
8.2	8.56E-07
8	8.41E-07
7.8	8.25E-07
7.6	8.10E-07
7.4	7.95E-07
7.2	7.80E-07
7	7.65E-07
6.8	7.50E-07
6.6	7.35E-07
6.4	7.20E-07
6.2	7.06E-07
6	6.91E-07
5.8	6.77E-07
5.6	6.63E-07
5.4	6.49E-07
5.2	6.35E-07
5	6.22E-07
4.8	6.08E-07
4.6	5.95E-07
4.4	5.81E-07
4.2	5.68E-07
4	5.55E-07
3.8	5.41E-07
3.6	5.28E-07
3.4	5.16E-07
3.2	5.03E-07
3	4.90E-07
2.8	4.77E-07
2.6	4.65E-07
2.4	4.53E-07
2.2	4.40E-07
2	4.28E-07
1.8	4.16E-07
1.6	4.04E-07
1.4	3.93E-07
1.2	3.81E-07
1	3.70E-07
0.8	3.58E-07
0.6	3.47E-07
0.4	3.36E-07
0.2	3.25E-07
0	3.15E-07
-0.2	3.04E-07
-0.4	2.94E-07
-0.6	2.83E-07
-0.8	2.73E-07
-1	2.63E-07
-1.2	2.54E-07
-1.4	2.44E-07
-1.6	2.35E-07
-1.8	2.26E-07
-2	2.17E-07
-2.2	2.08E-07
-2.4	1.99E-07
-2.6	1.91E-07
-2.8	1.83E-07
-3	1.74E-07
-3.2	1.67E-07
-3.4	1.59E-07
-3.6	1.52E-07
-3.8	1.44E-07
-4	1.37E-07
-4.2	1.30E-07
-4.4	1.24E-07
-4.6	1.17E-07
-4.8	1.11E-07
-5	1.05E-07
-5.2	9.95E-08
-5.4	9.40E-08
-5.6	8.86E-08
-5.8	8.35E-08
-6	7.86E-08
-6.2	7.38E-08
-6.4	6.93E-08
-6.6	6.50E-08
-6.8	6.08E-08
-7	5.69E-08
-7.2	5.31E-08
-7.4	4.96E-08
-7.6	4.62E-08
-7.8	4.30E-08
-8	4.00E-08
-8.2	3.71E-08
-8.4	3.44E-08
-8.6	3.19E-08
-8.8	2.95E-08
-9	2.73E-08
-9.2	2.53E-08
-9.4	2.34E-08
-9.6	2.16E-08
-9.8	1.99E-08
-10	1.84E-08
-10.2	1.70E-08
-10.4	1.57E-08
-10.6	1.45E-08
-10.8	1.34E-08
