COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-1.4	1.00E-10
-1.2	1.00E-10
-1	9.96E-11
-0.8	9.88E-11
-0.6	9.93E-11
-0.4	9.86E-11
-0.2	9.62E-11
0	9.75E-11
0.2	9.77E-11
0.4	9.80E-11
0.6	9.70E-11
0.8	9.69E-11
1	9.70E-11
1.2	9.61E-11
1.4	9.67E-11
1.6	9.61E-11
1.8	9.64E-11
2	9.68E-11
2.2	9.61E-11
2.4	9.61E-11
2.6	9.38E-11
2.8	9.45E-11
3	8.87E-11
3.2	9.34E-11
3.4	9.37E-11
3.6	9.45E-11
3.8	9.50E-11
4	9.52E-11
4.2	9.63E-11
4.4	9.57E-11
4.6	9.64E-11
4.8	9.68E-11
5	9.67E-11
5.2	9.74E-11
5.4	9.77E-11
5.6	9.75E-11
5.8	9.83E-11
6	9.87E-11
6.2	9.94E-11
6.4	1.00E-10
6.6	1.01E-10
6.8	1.02E-10
7	1.03E-10
7.2	1.04E-10
7.4	1.06E-10
7.6	1.07E-10
7.8	1.09E-10
8	1.10E-10
8.2	1.11E-10
8.4	1.13E-10
8.6	1.14E-10
8.8	1.15E-10
9	1.15E-10
9.2	1.15E-10
9.4	1.16E-10
9.6	1.16E-10
9.8	1.16E-10
10	1.16E-10
10.2	1.16E-10
10.4	1.16E-10
10.6	1.16E-10
10.8	1.16E-10
11	1.16E-10
11.2	1.16E-10
11.4	1.17E-10
11.6	1.17E-10
11.8	1.17E-10
12	1.17E-10
12.2	1.17E-10
12.4	1.17E-10
12.6	1.17E-10
12.8	1.17E-10
13	1.18E-10
13.2	1.18E-10
13.4	1.18E-10
13.6	1.18E-10
13.8	1.18E-10
14	1.18E-10
14.2	1.19E-10
14.4	1.19E-10
14.6	1.19E-10
14.8	1.19E-10
15	1.20E-10
15.2	1.20E-10
15.4	1.20E-10
15.6	1.21E-10
15.8	1.21E-10
16	1.21E-10
16.2	1.22E-10
16.4	1.22E-10
16.6	1.23E-10
16.8	1.23E-10
17	1.24E-10
17.2	1.24E-10
17.4	1.25E-10
17.6	1.25E-10
17.8	1.26E-10
18	1.26E-10
18.2	1.27E-10
18.4	1.27E-10
18.6	1.28E-10
18.8	1.29E-10
19	1.29E-10
19.2	1.30E-10
19.4	1.31E-10
19.6	1.32E-10
19.8	1.32E-10
20	1.34E-10
